ID_ATIV_ECON_ESTABELECIMENTO;LATITUDE;LONGITUDE
17;-199.039.838;-439.362.663
32;-198.463.158;-439.737.447
235;-199.401.445;-439.253.339
112;-199.048.955;-439.772.403
124;-198.895.928;-439.485.873
208;-19.929.932;-439.431.301
309;-199.383.675;-439.373.885
503;-19.936.342;-43.968.268
532;-19.897.581;-439.573.627
714;-198.903.695;-439.282.191
764;-199.154.655;-439.029.501
796;-199.294.049;-439.754.197
832;-199.297.262;-439.304.761
1034;-199.589.334;-440.017.603
1036;-2.000.629;-440.100.157
922;-199.182.726;-439.340.936
1067;-199.168.667;-439.879.003
1082;-199.732.009;-440.141.918
1358;-198.431.885;-439.565.294
1272;-199.353.545;-439.359.405
1394;-19.924.245;-439.442.116
1480;-199.520.203;-439.273.581
1650;-199.150.376;-439.408.267
1657;-198.221.025;-439.525.014
1662;-199.322.006;-439.332.462
1666;-19.843.783;-439.990.189
1675;-199.902.015;-440.008.435
1705;-199.281.198;-439.473.471
1727;-19.961.688;-439.735.719
1759;-198.748.642;-439.143.952
1786;-199.272.193;-439.630.253
2087;-199.342.918;-439.343.377
2285;-199.542.777;-439.501.682
2286;-199.542.777;-439.501.682
2239;-199.464.226;-439.282.453
2261;-199.325.301;-439.531.975
2510;-199.304.595;-439.471.758
2356;-198.902.883;-439.678.891
2400;-199.606.858;-439.784.281
2418;-198.937.008;-439.362.949
2465;-19.910.216;-43.960.267
4918;-199.185.571;-439.378.025
5016;-199.115.369;-439.420.357
4654;-199.118.032;-439.310.893
4665;-198.460.286;-439.765.992
4388;-199.396.287;-439.320.731
4395;-199.318.662;-439.240.776
4399;-199.280.206;-439.236.003
4404;-19.971.031;-439.516.745
4409;-199.281.198;-439.473.471
4087;-199.264.701;-439.226.777
4748;-19.925.814;-439.404.836
4769;-199.201.934;-43.948.757
4135;-199.262.416;-439.196.543
4145;-19.925.814;-439.404.836
4487;-199.281.198;-439.473.471
4514;-198.893.148;-439.230.211
4192;-199.055.354;-439.771.792
4529;-199.209.687;-43.976.747
4530;-199.398.984;-439.318.961
4861;-199.185.448;-439.314.327
4558;-199.298.142;-439.482.856
4565;-199.281.198;-439.473.471
3901;-199.334.519;-439.334.767
3378;-199.522.963;-439.379.594
3731;-199.378.158;-439.368.155
2696;-199.132.278;-439.409.232
3051;-199.294.049;-439.754.197
3389;-199.142.953;-439.886.957
3752;-198.260.795;-439.821.302
3753;-199.053.668;-439.898.573
2722;-199.272.193;-439.630.253
3424;-199.113.697;-439.079.098
3760;-198.306.947;-439.387.567
2780;-198.879.155;-439.258.501
3496;-199.162.948;-439.182.816
3497;-199.162.948;-439.182.816
3499;-199.385.467;-439.479.064
3800;-199.092.202;-439.339.006
3817;-199.533.701;-43.930.688
3211;-199.453.214;-439.305.151
3541;-19.969.302;-439.622.804
3244;-199.451.248;-439.304.617
2560;-199.249.386;-439.202.307
3279;-199.361.105;-439.454.043
3290;-199.223.659;-439.963.246
3291;-199.051.342;-440.068.782
3295;-199.387.786;-439.386.171
3672;-198.743.441;-439.261.621
3687;-199.118.032;-439.310.893
3699;-198.460.286;-439.765.992
3018;-199.209.687;-43.976.747
6983;-199.150.366;-439.420.377
6988;-199.017.691;-439.211.809
7007;-199.259.192;-439.354.585
7015;-199.475.492;-439.312.652
6695;-199.306.253;-439.754.612
7880;-199.281.198;-439.473.471
7396;-198.983.639;-439.446.915
6781;-199.358.377;-439.396.468
7111;-19.926.466;-43.958.381
7121;-199.372.147;-439.324.923
7149;-199.108.898;-439.089.846
6831;-199.182.295;-439.397.663
6832;-199.121.006;-439.582.332
6861;-198.700.576;-439.797.512
6869;-199.386.192;-439.336.176
7507;-19.925.667;-439.492.259
7210;-199.276.828;-439.353.034
7221;-19.923.849;-439.514.012
6599;-199.323.242;-439.588.372
6948;-199.469.379;-439.488.773
5719;-19.948.763;-439.612.647
5723;-199.276.333;-439.280.034
6432;-199.493.059;-439.273.932
6463;-199.688.919;-439.645.118
5785;-199.422.675;-439.211.123
6128;-199.398.984;-439.318.961
6474;-199.343.836;-439.429.006
5804;-199.140.903;-439.867.487
6516;-199.269.644;-439.336.373
6525;-198.373.712;-439.480.678
5836;-199.163.621;-439.244.363
6573;-198.679.391;-440.027.496
5850;-199.162.429;-439.278.764
6200;-199.216.978;-439.386.879
6201;-199.136.125;-439.139.257
6207;-199.264.701;-439.226.777
6496;-199.426.941;-439.354.543
5517;-199.384.716;-439.342.575
6217;-199.264.109;-4.394.889
6552;-199.216.978;-439.386.879
5537;-199.362.825;-439.281.041
5898;-198.511.453;-439.632.373
5230;-199.240.706;-439.673.882
5591;-199.245.986;-43.927.008
5606;-198.594.398;-439.494.517
6351;-199.084.384;-439.986.218
5311;-198.902.883;-439.678.891
5657;-199.268.109;-439.510.964
6033;-199.084.384;-439.986.218
6394;-198.192.239;-439.801.314
10015;-199.384.716;-439.342.575
10016;-199.307;-439.334.858
10049;-19.971.031;-439.516.745
9413;-199.407.141;-439.342.101
10553;-19.930.083;-439.570.285
10508;-199.182.295;-439.397.663
10561;-199.746.598;-439.769.735
9531;-198.988.167;-439.231.518
10186;-19.926.466;-43.958.381
10187;-19.926.466;-43.958.381
9892;-199.179.127;-439.728.035
9906;-199.298.101;-439.567.296
9958;-198.343.673;-439.384.583
8486;-19.924.245;-439.442.116
8842;-198.840.408;-439.463.907
8178;-199.337.402;-439.500.772
8198;-199.428.826;-439.294.365
8620;-199.125.933;-439.394.474
8964;-199.262.416;-439.196.543
7948;-199.434.134;-439.483.373
7952;-198.893.562;-440.075.201
8658;-199.378.158;-439.368.155
8666;-198.271.418;-439.681.457
9015;-199.216.978;-439.386.879
8369;-199.496.586;-439.344.962
8378;-199.264.701;-439.226.777
9080;-19.928.111;-439.596.885
9096;-199.352.663;-439.567.921
12009;-199.352.484;-439.410.098
13161;-197.859.359;-439.490.128
13079;-198.119.817;-439.616.761
12954;-199.244.718;-439.194.456
12826;-199.473.302;-439.544.083
12857;-198.357.109;-43.965.338
13005;-198.025.842;-439.708.571
12876;-199.426.941;-439.354.543
12260;-199.391.832;-439.410.763
11444;-199.247.161;-439.375.956
11135;-199.142.953;-439.886.957
11483;-198.530.076;-439.558.805
11506;-199.331.375;-44.009.757
11524;-198.199.704;-438.913.103
11837;-198.719.031;-43.987.103
10876;-199.043.845;-439.503.003
11566;-198.516.988;-439.596.153
10912;-198.977.845;-43.961.239
10914;-198.715.572;-439.950.758
11253;-199.430.067;-439.382.702
11259;-19.913.295;-439.181.048
11588;-199.429.289;-439.263.302
10578;-198.519.534;-43.912.707
10596;-199.248.849;-439.471.081
10933;-199.375.617;-439.594.066
11283;-199.380.708;-439.422.176
11614;-199.442.899;-439.407.124
10611;-199.281.357;-439.314.227
11637;-198.630.917;-439.597.997
11638;-198.630.917;-439.597.997
10996;-199.208.142;-439.369.612
11339;-198.151.636;-439.561.285
11011;-199.434.484;-439.567.156
11358;-19.937.306;-439.472.329
11023;-199.017.691;-439.211.809
11031;-19.918.203;-439.393.937
11039;-198.070.283;-439.804.371
11051;-199.079.972;-439.835.693
11402;-199.269.037;-439.523.924
10736;-198.900.183;-440.009.465
15266;-198.741.165;-439.883.188
15277;-199.392.106;-439.311.759
15281;-19.925.814;-439.404.836
14627;-199.167.419;-43.932.403
15292;-199.331.468;-439.267.326
14655;-198.541.789;-439.165.837
14994;-198.713.761;-439.865.191
14666;-198.116.722;-439.408.124
15344;-198.526.533;-439.271.284
15347;-199.084.384;-439.986.218
15348;-198.655.341;-439.831.013
14727;-19.928.828;-439.440.502
15071;-199.150.376;-439.408.267
15411;-198.542.101;-438.907.103
15106;-199.435.634;-43.925.382
14788;-199.524.107;-439.313.009
15450;-199.334.519;-439.334.767
15484;-199.308.719;-439.950.081
15196;-19.915.841;-439.275.689
15514;-199.390.626;-440.233.368
14859;-199.154.221;-439.431.634
15528;-199.425.929;-439.424.838
15220;-199.075.065;-438.943.475
15226;-199.435.392;-439.496.401
15232;-199.354.207;-439.369.552
15240;-199.304.115;-439.513.723
14041;-199.490.275;-439.251.943
14048;-19.972.979;-439.373.734
13381;-198.931.966;-439.091.749
13386;-199.226.105;-43.940.276
13387;-199.369.203;-439.240.751
14435;-199.358.885;-439.310.989
13780;-19.841.838;-440.097.746
14452;-199.128.467;-438.934.809
14496;-199.226.105;-43.940.276
13829;-199.403.317;-439.253.539
14148;-199.274.167;-439.771.468
13482;-199.274.923;-439.301.419
13870;-199.382.063;-439.411.433
13538;-198.910.177;-439.356.757
13550;-199.571.651;-439.659.182
13930;-199.274.866;-439.471.836
13270;-19.969.302;-439.622.804
13612;-199.281.198;-439.473.471
13975;-199.298.142;-439.482.856
13633;-199.137.197;-440.046.992
13653;-199.327.796;-439.417.401
13661;-199.687.109;-439.810.183
14341;-199.615.408;-439.462.266
14345;-198.292.634;-439.770.421
17692;-199.248.849;-439.471.081
17702;-199.300.404;-439.526.961
17706;-19.917.892;-43.938.262
17722;-199.294.386;-439.571.399
17392;-199.233.531;-43.939.773
18047;-199.177.559;-4.391.091
18051;-199.386.961;-439.384.201
18052;-199.398.984;-439.318.961
18459;-198.900.183;-440.009.465
18510;-199.604.404;-439.845.801
18513;-198.758.891;-439.975.744
17795;-19.929.932;-439.431.301
18599;-199.236.654;-439.440.039
17535;-199.795.508;-440.279.461
17893;-199.295.083;-439.473.777
17557;-198.279.214;-439.629.688
18219;-199.786.436;-440.485.452
18227;-198.741.165;-439.883.188
18374;-199.106.279;-439.572.131
17586;-199.390.626;-440.233.368
18253;-199.637.996;-43.949.628
17627;-19.925.814;-439.404.836
17305;-199.225.815;-439.430.243
17658;-199.378.835;-439.446.586
17990;-199.295.217;-439.659.775
17999;-198.192.323;-439.519.494
16478;-198.529.476;-439.599.784
16820;-199.085.096;-439.240.903
16827;-198.438.703;-439.214.687
16130;-199.225.815;-439.430.243
17182;-199.257.052;-439.223.823
17183;-199.319.508;-439.209.454
16161;-199.158.524;-439.105.711
16163;-199.387.593;-439.395.336
16183;-199.253.573;-439.486.157
16186;-199.016.406;-440.239.021
17293;-199.758.686;-440.173.857
16930;-19.921.128;-439.239.648
16934;-199.220.057;-439.400.589
16242;-199.740.672;-440.212.982
17271;-199.250.301;-4.393.764
16298;-199.356.453;-439.284.123
17042;-199.067.703;-439.442.086
17044;-199.273.375;-439.868.954
17045;-199.209.965;-439.761.991
17046;-198.966.437;-439.126.656
16010;-199.057.636;-439.455.982
16024;-199.765.872;-439.773.697
16737;-199.314.287;-439.399.339
16742;-199.378.158;-439.368.155
16744;-199.289.066;-439.549.839
17085;-199.586.297;-439.500.656
17089;-199.202.994;-439.465.816
16417;-199.158.595;-439.344.473
16078;-199.185.571;-439.378.025
20009;-199.142.953;-439.886.957
20371;-199.018.775;-439.827.862
20686;-199.226.105;-43.940.276
20687;-198.817.337;-439.774.541
21082;-199.358.377;-439.396.468
20049;-199.264.005;-439.518.031
20052;-199.314.906;-439.441.206
20053;-199.741.447;-439.354.604
20055;-199.314.906;-439.441.206
20089;-198.885.616;-439.329.863
20431;-199.237.726;-439.067.129
21108;-199.407.141;-439.342.101
21124;-199.565.487;-439.576.764
20147;-199.162.218;-439.142.033
20480;-199.073.082;-439.336.173
20497;-199.182.295;-439.397.663
21242;-199.425.929;-439.424.838
20172;-199.547.913;-439.595.811
21132;-198.903.695;-439.282.191
20202;-199.295.524;-440.003.203
20555;-199.150.666;-439.421.408
21012;-199.291.465;-439.243.387
20245;-199.310.087;-439.556.946
19967;-199.093.894;-438.972.664
20634;-199.473.302;-439.544.083
20334;-199.254.786;-439.500.059
19164;-199.820.245;-439.777.458
19483;-199.255.879;-439.238.805
19824;-199.291.876;-439.295.187
19837;-19.945.113;-43.917.706
18867;-199.363.019;-439.239.093
19901;-199.085.363;-44.002.571
19905;-199.672.335;-439.635.733
19906;-199.590.499;-439.682.657
19251;-199.740.672;-440.212.982
19946;-199.659.397;-439.803.299
18905;-199.291.465;-439.243.387
